:START_ID(Snack),:END_ID(Ingredient),:TYPE
83,4,CONTAINS
83,41,CONTAINS
83,46,CONTAINS
84,27,CONTAINS
84,26,CONTAINS
84,44,CONTAINS
84,45,CONTAINS
84,36,CONTAINS
85,47,CONTAINS
85,48,CONTAINS
85,21,CONTAINS
85,23,CONTAINS
85,1,CONTAINS
86,34,CONTAINS
86,40,CONTAINS
86,10,CONTAINS
86,45,CONTAINS
86,26,CONTAINS
87,42,CONTAINS
87,14,CONTAINS
87,35,CONTAINS
87,40,CONTAINS
87,47,CONTAINS
87,50,CONTAINS
88,45,CONTAINS
88,23,CONTAINS
88,42,CONTAINS
88,26,CONTAINS
88,13,CONTAINS
88,20,CONTAINS
89,3,CONTAINS
89,35,CONTAINS
89,22,CONTAINS
90,47,CONTAINS
90,50,CONTAINS
90,48,CONTAINS
90,9,CONTAINS
90,34,CONTAINS
90,35,CONTAINS
91,14,CONTAINS
91,6,CONTAINS
91,33,CONTAINS
91,36,CONTAINS
91,20,CONTAINS
92,49,CONTAINS
92,41,CONTAINS
92,11,CONTAINS
92,2,CONTAINS
92,35,CONTAINS
93,16,CONTAINS
93,50,CONTAINS
93,20,CONTAINS
93,47,CONTAINS
93,28,CONTAINS
94,47,CONTAINS
94,4,CONTAINS
94,24,CONTAINS
95,41,CONTAINS
95,33,CONTAINS
95,23,CONTAINS
95,8,CONTAINS
95,4,CONTAINS
96,29,CONTAINS
96,20,CONTAINS
96,37,CONTAINS
97,30,CONTAINS
97,22,CONTAINS
97,16,CONTAINS
98,23,CONTAINS
98,20,CONTAINS
98,19,CONTAINS
98,43,CONTAINS
99,46,CONTAINS
99,25,CONTAINS
99,34,CONTAINS
99,48,CONTAINS
100,7,CONTAINS
100,21,CONTAINS
100,34,CONTAINS
100,38,CONTAINS
101,50,CONTAINS
101,24,CONTAINS
101,30,CONTAINS
101,7,CONTAINS
102,46,CONTAINS
102,28,CONTAINS
102,27,CONTAINS
102,6,CONTAINS
103,4,CONTAINS
103,28,CONTAINS
103,9,CONTAINS
104,14,CONTAINS
104,29,CONTAINS
104,5,CONTAINS
104,24,CONTAINS
104,44,CONTAINS
104,34,CONTAINS
105,38,CONTAINS
105,36,CONTAINS
105,34,CONTAINS
105,26,CONTAINS
105,17,CONTAINS
105,50,CONTAINS
106,41,CONTAINS
106,28,CONTAINS
106,29,CONTAINS
106,45,CONTAINS
106,32,CONTAINS
106,27,CONTAINS
107,10,CONTAINS
107,33,CONTAINS
107,9,CONTAINS
107,32,CONTAINS
108,9,CONTAINS
108,46,CONTAINS
108,33,CONTAINS
108,34,CONTAINS
108,8,CONTAINS
108,45,CONTAINS
109,30,CONTAINS
109,31,CONTAINS
109,3,CONTAINS
109,48,CONTAINS
110,36,CONTAINS
110,24,CONTAINS
110,8,CONTAINS
110,39,CONTAINS
111,8,CONTAINS
111,50,CONTAINS
111,24,CONTAINS
111,37,CONTAINS
111,19,CONTAINS
111,3,CONTAINS
112,8,CONTAINS
112,24,CONTAINS
112,20,CONTAINS
112,19,CONTAINS
113,2,CONTAINS
113,10,CONTAINS
113,49,CONTAINS
113,38,CONTAINS
113,27,CONTAINS
113,4,CONTAINS
114,19,CONTAINS
114,14,CONTAINS
114,12,CONTAINS
114,48,CONTAINS
114,32,CONTAINS
115,8,CONTAINS
115,36,CONTAINS
115,23,CONTAINS
116,3,CONTAINS
116,27,CONTAINS
116,31,CONTAINS
117,37,CONTAINS
117,29,CONTAINS
117,22,CONTAINS
117,25,CONTAINS
117,31,CONTAINS
118,49,CONTAINS
118,9,CONTAINS
118,33,CONTAINS
118,41,CONTAINS
119,49,CONTAINS
119,29,CONTAINS
119,43,CONTAINS
119,50,CONTAINS
119,10,CONTAINS
119,21,CONTAINS
120,40,CONTAINS
120,43,CONTAINS
120,27,CONTAINS
121,15,CONTAINS
121,26,CONTAINS
121,22,CONTAINS
121,35,CONTAINS
121,3,CONTAINS
121,43,CONTAINS
122,48,CONTAINS
122,18,CONTAINS
122,42,CONTAINS
122,6,CONTAINS
122,11,CONTAINS
122,2,CONTAINS
123,36,CONTAINS
123,42,CONTAINS
123,8,CONTAINS
123,6,CONTAINS
123,13,CONTAINS
124,37,CONTAINS
124,34,CONTAINS
124,13,CONTAINS
125,33,CONTAINS
125,2,CONTAINS
125,8,CONTAINS
125,43,CONTAINS
125,35,CONTAINS
125,12,CONTAINS
126,18,CONTAINS
126,14,CONTAINS
126,16,CONTAINS
127,6,CONTAINS
127,35,CONTAINS
127,39,CONTAINS
127,21,CONTAINS
127,26,CONTAINS
127,38,CONTAINS
128,32,CONTAINS
128,2,CONTAINS
128,22,CONTAINS
129,12,CONTAINS
129,27,CONTAINS
129,2,CONTAINS
129,34,CONTAINS
129,21,CONTAINS
129,25,CONTAINS
130,6,CONTAINS
130,8,CONTAINS
130,7,CONTAINS
130,35,CONTAINS
130,11,CONTAINS
131,10,CONTAINS
131,12,CONTAINS
131,17,CONTAINS
131,50,CONTAINS
131,6,CONTAINS
132,20,CONTAINS
132,27,CONTAINS
132,44,CONTAINS
132,11,CONTAINS
133,40,CONTAINS
133,21,CONTAINS
133,12,CONTAINS
134,46,CONTAINS
134,4,CONTAINS
134,20,CONTAINS
135,7,CONTAINS
135,21,CONTAINS
135,10,CONTAINS
135,27,CONTAINS
135,49,CONTAINS
135,17,CONTAINS
136,8,CONTAINS
136,4,CONTAINS
136,13,CONTAINS
136,16,CONTAINS
136,39,CONTAINS
136,38,CONTAINS
137,32,CONTAINS
137,33,CONTAINS
137,49,CONTAINS
137,25,CONTAINS
138,18,CONTAINS
138,4,CONTAINS
138,21,CONTAINS
139,36,CONTAINS
139,27,CONTAINS
139,5,CONTAINS
139,31,CONTAINS
139,2,CONTAINS
139,49,CONTAINS
140,2,CONTAINS
140,18,CONTAINS
140,36,CONTAINS
140,38,CONTAINS
141,16,CONTAINS
141,49,CONTAINS
141,36,CONTAINS
142,20,CONTAINS
142,37,CONTAINS
142,27,CONTAINS
142,29,CONTAINS
143,41,CONTAINS
143,33,CONTAINS
143,14,CONTAINS
144,24,CONTAINS
144,35,CONTAINS
144,11,CONTAINS
144,16,CONTAINS
145,36,CONTAINS
145,29,CONTAINS
145,3,CONTAINS
145,1,CONTAINS
145,30,CONTAINS
145,40,CONTAINS
146,42,CONTAINS
146,11,CONTAINS
146,1,CONTAINS
146,4,CONTAINS
146,31,CONTAINS
147,39,CONTAINS
147,17,CONTAINS
147,44,CONTAINS
147,25,CONTAINS
147,23,CONTAINS
148,38,CONTAINS
148,33,CONTAINS
148,19,CONTAINS
148,3,CONTAINS
149,48,CONTAINS
149,35,CONTAINS
149,37,CONTAINS
149,5,CONTAINS
150,6,CONTAINS
150,26,CONTAINS
150,45,CONTAINS
150,8,CONTAINS
150,9,CONTAINS
151,28,CONTAINS
151,14,CONTAINS
151,40,CONTAINS
151,33,CONTAINS
151,21,CONTAINS
152,41,CONTAINS
152,17,CONTAINS
152,49,CONTAINS
152,46,CONTAINS
152,29,CONTAINS
153,16,CONTAINS
153,43,CONTAINS
153,21,CONTAINS
153,22,CONTAINS
153,14,CONTAINS
154,39,CONTAINS
154,22,CONTAINS
154,2,CONTAINS
154,45,CONTAINS
154,9,CONTAINS
154,42,CONTAINS
155,39,CONTAINS
155,31,CONTAINS
155,1,CONTAINS
156,44,CONTAINS
156,12,CONTAINS
156,27,CONTAINS
157,49,CONTAINS
157,26,CONTAINS
157,35,CONTAINS
157,6,CONTAINS
157,42,CONTAINS
157,46,CONTAINS
158,35,CONTAINS
158,2,CONTAINS
158,43,CONTAINS
159,44,CONTAINS
159,8,CONTAINS
159,23,CONTAINS
159,25,CONTAINS
159,39,CONTAINS
159,48,CONTAINS
160,12,CONTAINS
160,45,CONTAINS
160,1,CONTAINS
160,8,CONTAINS
160,30,CONTAINS
160,24,CONTAINS
161,29,CONTAINS
161,1,CONTAINS
161,15,CONTAINS
161,48,CONTAINS
162,49,CONTAINS
162,18,CONTAINS
162,44,CONTAINS
163,13,CONTAINS
163,6,CONTAINS
163,40,CONTAINS
163,41,CONTAINS
163,20,CONTAINS
164,15,CONTAINS
164,32,CONTAINS
164,24,CONTAINS
164,3,CONTAINS
165,32,CONTAINS
165,46,CONTAINS
165,39,CONTAINS
165,14,CONTAINS
165,1,CONTAINS
166,41,CONTAINS
166,26,CONTAINS
166,8,CONTAINS
166,18,CONTAINS
167,11,CONTAINS
167,36,CONTAINS
167,13,CONTAINS
167,43,CONTAINS
167,37,CONTAINS
167,44,CONTAINS
168,5,CONTAINS
168,38,CONTAINS
168,9,CONTAINS
168,48,CONTAINS
169,9,CONTAINS
169,17,CONTAINS
169,37,CONTAINS
170,34,CONTAINS
170,47,CONTAINS
170,18,CONTAINS
170,13,CONTAINS
171,45,CONTAINS
171,44,CONTAINS
171,35,CONTAINS
172,44,CONTAINS
172,36,CONTAINS
172,30,CONTAINS
172,1,CONTAINS
172,28,CONTAINS
173,21,CONTAINS
173,28,CONTAINS
173,27,CONTAINS
174,8,CONTAINS
174,44,CONTAINS
174,34,CONTAINS
174,30,CONTAINS
174,32,CONTAINS
175,34,CONTAINS
175,49,CONTAINS
175,3,CONTAINS
175,47,CONTAINS
175,15,CONTAINS
176,18,CONTAINS
176,27,CONTAINS
176,35,CONTAINS
177,21,CONTAINS
177,1,CONTAINS
177,26,CONTAINS
177,13,CONTAINS
177,22,CONTAINS
177,6,CONTAINS
178,48,CONTAINS
178,15,CONTAINS
178,45,CONTAINS
179,5,CONTAINS
179,16,CONTAINS
179,13,CONTAINS
179,11,CONTAINS
179,22,CONTAINS
179,20,CONTAINS
180,41,CONTAINS
180,7,CONTAINS
180,2,CONTAINS
181,28,CONTAINS
181,2,CONTAINS
181,38,CONTAINS
181,41,CONTAINS
181,22,CONTAINS
181,17,CONTAINS
182,7,CONTAINS
182,31,CONTAINS
182,16,CONTAINS
182,22,CONTAINS
183,22,CONTAINS
183,34,CONTAINS
183,16,CONTAINS
184,50,CONTAINS
184,39,CONTAINS
184,40,CONTAINS
185,49,CONTAINS
185,7,CONTAINS
185,41,CONTAINS
185,29,CONTAINS
185,38,CONTAINS
185,8,CONTAINS
186,4,CONTAINS
186,3,CONTAINS
186,25,CONTAINS
187,45,CONTAINS
187,5,CONTAINS
187,9,CONTAINS
187,4,CONTAINS
187,29,CONTAINS
188,20,CONTAINS
188,40,CONTAINS
188,41,CONTAINS
189,5,CONTAINS
189,7,CONTAINS
189,44,CONTAINS
189,4,CONTAINS
189,36,CONTAINS
189,47,CONTAINS
190,25,CONTAINS
190,26,CONTAINS
190,7,CONTAINS
190,40,CONTAINS
190,49,CONTAINS
191,15,CONTAINS
191,39,CONTAINS
191,43,CONTAINS
191,40,CONTAINS
191,1,CONTAINS
191,30,CONTAINS
192,30,CONTAINS
192,28,CONTAINS
192,40,CONTAINS
192,48,CONTAINS
192,7,CONTAINS
192,22,CONTAINS
193,30,CONTAINS
193,34,CONTAINS
193,22,CONTAINS
194,7,CONTAINS
194,1,CONTAINS
194,39,CONTAINS
194,46,CONTAINS
195,38,CONTAINS
195,13,CONTAINS
195,37,CONTAINS
196,41,CONTAINS
196,33,CONTAINS
196,17,CONTAINS
196,23,CONTAINS
197,31,CONTAINS
197,47,CONTAINS
197,40,CONTAINS
197,29,CONTAINS
197,12,CONTAINS
197,16,CONTAINS
198,3,CONTAINS
198,4,CONTAINS
198,9,CONTAINS
198,20,CONTAINS
199,33,CONTAINS
199,42,CONTAINS
199,23,CONTAINS
199,20,CONTAINS
199,38,CONTAINS
199,35,CONTAINS
200,10,CONTAINS
200,31,CONTAINS
200,20,CONTAINS
200,39,CONTAINS
