reviewId:ID(Review),rating,review_text,review_time
131,3,Prijs kwaliteit is uitstekend.,2025-07-27
132,3,Erg lekkere snack!,2026-02-24
133,3,Erg lekkere snack!,2026-03-21
134,4,De kinderen vonden het heerlijk.,2026-03-27
135,1,Perfect voor tussendoor.,2025-10-07
136,3,De kinderen vonden het heerlijk.,2025-07-25
137,1,Perfect voor tussendoor.,2025-09-09
138,2,Goede prijs voor de kwaliteit.,2026-05-02
139,5,Zou opnieuw bestellen.,2025-10-02
140,1,Erg lekkere snack!,2025-09-21
141,4,Heel tevreden over deze bestelling.,2025-06-07
142,1,Perfect voor tussendoor.,2025-05-25
143,4,Goede kwaliteit en snelle levering.,2026-04-13
144,3,Goede prijs voor de kwaliteit.,2026-03-10
145,1,Mijn favoriete snack tot nu toe.,2026-01-04
146,5,Goede prijs voor de kwaliteit.,2025-08-17
147,3,Heel tevreden over deze bestelling.,2025-07-23
148,5,Zou opnieuw bestellen.,2025-10-04
149,5,Goede prijs voor de kwaliteit.,2025-10-16
150,1,Goede kwaliteit en snelle levering.,2025-06-23
151,5,Prijs kwaliteit is uitstekend.,2025-10-16
152,4,Prijs kwaliteit is uitstekend.,2025-10-25
153,3,Perfect voor tussendoor.,2025-11-01
154,4,Goede kwaliteit en snelle levering.,2025-12-15
155,4,Smaak was beter dan verwacht.,2025-06-18
156,3,Smaak was beter dan verwacht.,2026-03-07
157,4,Goede kwaliteit en snelle levering.,2026-04-08
158,1,Goede kwaliteit en snelle levering.,2025-10-15
159,1,Smaak was beter dan verwacht.,2026-03-19
160,5,Erg lekkere snack!,2025-07-28
161,5,De kinderen vonden het heerlijk.,2025-12-07
162,1,Heel tevreden over deze bestelling.,2025-11-24
163,4,Erg lekkere snack!,2025-12-28
164,5,Zou opnieuw bestellen.,2025-11-25
165,1,Goede prijs voor de kwaliteit.,2025-09-07
166,2,Mijn favoriete snack tot nu toe.,2025-06-22
167,4,Prijs kwaliteit is uitstekend.,2026-03-30
168,3,De kinderen vonden het heerlijk.,2025-11-17
169,1,Zou opnieuw bestellen.,2025-08-04
170,2,Heel tevreden over deze bestelling.,2025-08-10
171,5,Goede prijs voor de kwaliteit.,2025-06-13
172,5,Erg lekkere snack!,2025-07-17
173,3,Erg lekkere snack!,2026-02-21
174,3,Zou opnieuw bestellen.,2025-12-02
175,3,Erg lekkere snack!,2026-02-21
176,2,Goede prijs voor de kwaliteit.,2025-06-22
177,4,Goede kwaliteit en snelle levering.,2026-03-13
178,1,Goede kwaliteit en snelle levering.,2025-08-26
179,2,Heel tevreden over deze bestelling.,2025-10-22
180,4,Smaak was beter dan verwacht.,2026-03-05
181,3,Zou opnieuw bestellen.,2025-12-09
182,5,Goede prijs voor de kwaliteit.,2026-04-11
183,1,Mijn favoriete snack tot nu toe.,2026-03-05
184,5,Erg lekkere snack!,2025-06-13
185,1,Zou opnieuw bestellen.,2025-10-10
186,4,Perfect voor tussendoor.,2025-07-18
187,4,Heel tevreden over deze bestelling.,2026-01-05
188,2,De kinderen vonden het heerlijk.,2026-03-27
189,3,Heel tevreden over deze bestelling.,2026-03-29
190,3,Goede prijs voor de kwaliteit.,2025-09-17
191,5,Zou opnieuw bestellen.,2026-05-01
192,2,Heel tevreden over deze bestelling.,2025-07-22
193,1,Erg lekkere snack!,2026-02-09
194,3,Prijs kwaliteit is uitstekend.,2026-03-15
195,3,Zou opnieuw bestellen.,2025-12-08
196,1,Erg lekkere snack!,2025-09-12
197,4,Mijn favoriete snack tot nu toe.,2026-03-19
198,4,De kinderen vonden het heerlijk.,2025-05-29
199,2,De kinderen vonden het heerlijk.,2025-08-11
200,3,Goede kwaliteit en snelle levering.,2025-11-02
201,1,Heel tevreden over deze bestelling.,2026-05-15
202,4,Goede kwaliteit en snelle levering.,2025-12-15
203,5,Heel tevreden over deze bestelling.,2025-08-04
204,4,Heel tevreden over deze bestelling.,2025-12-27
205,1,Heel tevreden over deze bestelling.,2026-05-14
206,3,Mijn favoriete snack tot nu toe.,2025-07-12
207,4,Smaak was beter dan verwacht.,2026-04-09
208,4,Goede kwaliteit en snelle levering.,2026-01-20
209,4,Goede prijs voor de kwaliteit.,2025-10-31
210,5,Goede kwaliteit en snelle levering.,2025-11-03
211,3,Smaak was beter dan verwacht.,2026-01-31
212,3,Mijn favoriete snack tot nu toe.,2026-04-15
213,5,Goede kwaliteit en snelle levering.,2025-08-26
214,5,Prijs kwaliteit is uitstekend.,2025-11-27
215,3,Mijn favoriete snack tot nu toe.,2026-01-24
216,1,Mijn favoriete snack tot nu toe.,2026-01-13
217,2,Mijn favoriete snack tot nu toe.,2025-07-20
218,2,Goede kwaliteit en snelle levering.,2026-02-23
219,4,Perfect voor tussendoor.,2025-08-09
220,5,Perfect voor tussendoor.,2025-06-10
221,5,Goede prijs voor de kwaliteit.,2025-12-10
222,3,Mijn favoriete snack tot nu toe.,2025-10-11
223,1,Perfect voor tussendoor.,2025-10-10
224,3,Zou opnieuw bestellen.,2025-07-26
225,1,Smaak was beter dan verwacht.,2025-09-07
226,1,Zou opnieuw bestellen.,2025-09-30
227,4,Erg lekkere snack!,2026-04-25
228,3,Zou opnieuw bestellen.,2026-04-15
229,1,Goede prijs voor de kwaliteit.,2025-07-24
230,5,Heel tevreden over deze bestelling.,2025-09-30
231,5,De kinderen vonden het heerlijk.,2026-05-03
232,4,Goede prijs voor de kwaliteit.,2025-06-25
233,2,Smaak was beter dan verwacht.,2025-07-19
234,4,De kinderen vonden het heerlijk.,2026-03-08
235,1,Perfect voor tussendoor.,2026-04-02
236,3,Goede kwaliteit en snelle levering.,2025-09-08
237,2,Erg lekkere snack!,2026-01-18
238,4,Perfect voor tussendoor.,2025-08-29
239,5,Goede prijs voor de kwaliteit.,2026-03-04
240,3,Smaak was beter dan verwacht.,2025-12-31
241,4,Heel tevreden over deze bestelling.,2025-12-02
242,5,Erg lekkere snack!,2025-07-05
243,3,Goede kwaliteit en snelle levering.,2025-12-07
244,1,De kinderen vonden het heerlijk.,2025-06-11
245,4,Zou opnieuw bestellen.,2026-01-15
246,5,Mijn favoriete snack tot nu toe.,2025-12-05
247,1,Goede prijs voor de kwaliteit.,2025-06-19
248,2,Smaak was beter dan verwacht.,2025-12-17
249,4,Mijn favoriete snack tot nu toe.,2025-07-24
250,1,Zou opnieuw bestellen.,2025-08-11
251,4,Smaak was beter dan verwacht.,2026-03-20
252,5,Goede kwaliteit en snelle levering.,2025-06-28
253,4,De kinderen vonden het heerlijk.,2025-11-20
254,1,Smaak was beter dan verwacht.,2025-12-17
255,2,Prijs kwaliteit is uitstekend.,2025-12-01
256,4,Prijs kwaliteit is uitstekend.,2026-01-29
257,2,Mijn favoriete snack tot nu toe.,2026-04-15
258,3,Goede kwaliteit en snelle levering.,2025-09-07
259,5,De kinderen vonden het heerlijk.,2026-05-05
260,3,Goede prijs voor de kwaliteit.,2026-03-18
261,5,Heel tevreden over deze bestelling.,2026-03-07
262,2,Mijn favoriete snack tot nu toe.,2025-06-04
263,5,Mijn favoriete snack tot nu toe.,2025-10-12
264,1,Heel tevreden over deze bestelling.,2025-11-19
265,2,Perfect voor tussendoor.,2025-07-16
266,3,Perfect voor tussendoor.,2026-01-25
267,5,Prijs kwaliteit is uitstekend.,2025-12-17
268,4,Prijs kwaliteit is uitstekend.,2025-11-17
269,5,Perfect voor tussendoor.,2025-09-30
270,3,Heel tevreden over deze bestelling.,2025-09-09
271,5,Heel tevreden over deze bestelling.,2026-03-03
272,2,Goede prijs voor de kwaliteit.,2026-03-15
273,3,Erg lekkere snack!,2025-06-30
274,4,Smaak was beter dan verwacht.,2025-08-14
275,1,De kinderen vonden het heerlijk.,2026-03-22
276,3,Goede kwaliteit en snelle levering.,2026-03-03
277,3,Perfect voor tussendoor.,2025-09-04
278,2,Heel tevreden over deze bestelling.,2026-04-08
279,2,Perfect voor tussendoor.,2025-11-27
280,1,Heel tevreden over deze bestelling.,2026-04-27
281,4,De kinderen vonden het heerlijk.,2025-11-14
282,2,Heel tevreden over deze bestelling.,2026-04-13
283,3,Prijs kwaliteit is uitstekend.,2026-05-10
284,3,Goede kwaliteit en snelle levering.,2025-06-26
285,3,Mijn favoriete snack tot nu toe.,2026-03-15
286,1,Zou opnieuw bestellen.,2025-09-25
287,2,Perfect voor tussendoor.,2025-10-07
288,5,Erg lekkere snack!,2026-04-14
289,1,Zou opnieuw bestellen.,2026-02-03
290,2,De kinderen vonden het heerlijk.,2025-07-17
291,5,Heel tevreden over deze bestelling.,2026-03-29
292,3,Prijs kwaliteit is uitstekend.,2025-12-21
293,1,Erg lekkere snack!,2026-01-22
294,4,Goede prijs voor de kwaliteit.,2025-10-02
295,1,Goede kwaliteit en snelle levering.,2025-09-11
296,5,De kinderen vonden het heerlijk.,2026-05-16
297,5,Goede prijs voor de kwaliteit.,2026-01-21
298,2,Zou opnieuw bestellen.,2025-10-17
299,1,Goede prijs voor de kwaliteit.,2025-11-25
300,2,Goede prijs voor de kwaliteit.,2025-10-23
301,2,Goede kwaliteit en snelle levering.,2025-08-29
302,3,Goede kwaliteit en snelle levering.,2025-08-28
303,5,De kinderen vonden het heerlijk.,2025-09-07
304,5,Erg lekkere snack!,2025-11-06
305,4,Erg lekkere snack!,2025-07-03
306,4,Smaak was beter dan verwacht.,2026-01-15
307,1,Smaak was beter dan verwacht.,2026-04-20
308,3,Prijs kwaliteit is uitstekend.,2025-06-22
309,1,Goede prijs voor de kwaliteit.,2025-12-05
310,2,Erg lekkere snack!,2025-11-25
311,5,Smaak was beter dan verwacht.,2025-06-29
312,2,Perfect voor tussendoor.,2025-06-02
313,4,Mijn favoriete snack tot nu toe.,2026-03-16
314,1,Perfect voor tussendoor.,2026-05-06
315,3,Prijs kwaliteit is uitstekend.,2026-05-02
316,2,Erg lekkere snack!,2025-12-14
317,3,De kinderen vonden het heerlijk.,2025-11-02
318,5,Perfect voor tussendoor.,2026-01-15
319,1,Prijs kwaliteit is uitstekend.,2025-12-29
320,3,Erg lekkere snack!,2025-06-23
321,3,Zou opnieuw bestellen.,2026-03-22
322,3,Heel tevreden over deze bestelling.,2025-11-01
323,4,Heel tevreden over deze bestelling.,2025-12-02
324,2,Perfect voor tussendoor.,2025-06-04
325,4,Smaak was beter dan verwacht.,2025-09-01
326,3,Goede kwaliteit en snelle levering.,2025-10-19
327,1,Heel tevreden over deze bestelling.,2025-07-20
328,2,De kinderen vonden het heerlijk.,2025-12-25
329,3,Goede kwaliteit en snelle levering.,2026-04-14
330,3,Zou opnieuw bestellen.,2025-12-19
331,4,Goede prijs voor de kwaliteit.,2025-10-18
332,2,Perfect voor tussendoor.,2025-11-26
333,4,Erg lekkere snack!,2025-11-25
334,5,Heel tevreden over deze bestelling.,2026-01-04
335,1,Goede kwaliteit en snelle levering.,2025-06-15
336,4,Smaak was beter dan verwacht.,2025-09-04
337,2,Erg lekkere snack!,2026-03-12
338,5,Perfect voor tussendoor.,2026-05-07
339,2,Goede kwaliteit en snelle levering.,2026-01-24
340,3,Smaak was beter dan verwacht.,2025-11-09
341,5,Erg lekkere snack!,2025-07-19
342,2,Perfect voor tussendoor.,2025-11-16
343,3,Perfect voor tussendoor.,2026-04-15
344,5,Mijn favoriete snack tot nu toe.,2025-08-26
345,3,Heel tevreden over deze bestelling.,2025-12-15
346,3,Prijs kwaliteit is uitstekend.,2026-03-27
347,1,Mijn favoriete snack tot nu toe.,2025-09-11
348,5,Heel tevreden over deze bestelling.,2025-08-10
349,1,Zou opnieuw bestellen.,2026-01-11
350,4,Prijs kwaliteit is uitstekend.,2025-07-15
351,3,Perfect voor tussendoor.,2026-02-11
352,1,Mijn favoriete snack tot nu toe.,2026-04-17
353,4,Mijn favoriete snack tot nu toe.,2025-10-09
354,1,Smaak was beter dan verwacht.,2025-06-17
355,3,Goede kwaliteit en snelle levering.,2025-08-16
356,5,Zou opnieuw bestellen.,2025-12-22
357,2,Mijn favoriete snack tot nu toe.,2025-11-20
358,5,Prijs kwaliteit is uitstekend.,2026-03-23
359,2,Mijn favoriete snack tot nu toe.,2026-01-23
360,4,Erg lekkere snack!,2025-11-21
361,5,Goede prijs voor de kwaliteit.,2025-11-17
362,4,De kinderen vonden het heerlijk.,2026-03-19
363,5,Goede kwaliteit en snelle levering.,2026-04-21
364,3,Heel tevreden over deze bestelling.,2025-09-21
365,5,Heel tevreden over deze bestelling.,2025-10-27
366,5,Goede kwaliteit en snelle levering.,2026-03-21
367,3,Goede kwaliteit en snelle levering.,2025-10-06
368,4,De kinderen vonden het heerlijk.,2025-11-29
369,2,De kinderen vonden het heerlijk.,2025-07-01
370,5,Mijn favoriete snack tot nu toe.,2026-03-19
371,4,De kinderen vonden het heerlijk.,2026-04-26
372,1,De kinderen vonden het heerlijk.,2026-03-07
373,3,Mijn favoriete snack tot nu toe.,2026-03-03
374,3,Prijs kwaliteit is uitstekend.,2025-11-28
375,5,Zou opnieuw bestellen.,2026-04-14
376,3,Prijs kwaliteit is uitstekend.,2025-07-03
377,5,Zou opnieuw bestellen.,2026-03-21
378,3,Goede prijs voor de kwaliteit.,2025-08-24
379,1,De kinderen vonden het heerlijk.,2025-06-30
380,2,Goede prijs voor de kwaliteit.,2025-07-31
381,2,Mijn favoriete snack tot nu toe.,2025-06-21
382,5,Goede prijs voor de kwaliteit.,2025-12-03
383,5,Erg lekkere snack!,2026-05-10
384,1,Erg lekkere snack!,2025-06-30
385,5,Zou opnieuw bestellen.,2025-06-25
386,2,Goede prijs voor de kwaliteit.,2025-10-23
387,5,Erg lekkere snack!,2025-09-12
388,5,Zou opnieuw bestellen.,2025-06-30
389,3,Perfect voor tussendoor.,2026-01-19
390,4,Zou opnieuw bestellen.,2025-10-04
391,1,Erg lekkere snack!,2026-03-05
392,4,Heel tevreden over deze bestelling.,2025-09-19
393,4,Prijs kwaliteit is uitstekend.,2025-12-01
394,5,Mijn favoriete snack tot nu toe.,2025-12-15
395,3,Smaak was beter dan verwacht.,2025-11-01
396,2,Smaak was beter dan verwacht.,2025-09-03
397,5,Goede kwaliteit en snelle levering.,2025-12-12
398,2,Perfect voor tussendoor.,2026-03-23
399,3,Perfect voor tussendoor.,2026-01-18
400,2,Goede kwaliteit en snelle levering.,2026-04-29
401,3,Heel tevreden over deze bestelling.,2025-07-13
402,4,Prijs kwaliteit is uitstekend.,2026-03-04
403,3,Goede prijs voor de kwaliteit.,2025-12-15
404,2,Mijn favoriete snack tot nu toe.,2025-09-11
405,5,Perfect voor tussendoor.,2025-09-11
406,3,Perfect voor tussendoor.,2026-05-13
407,1,Heel tevreden over deze bestelling.,2025-09-08
408,4,Prijs kwaliteit is uitstekend.,2026-02-03
409,5,Smaak was beter dan verwacht.,2026-04-30
410,1,Zou opnieuw bestellen.,2025-09-13
411,5,Perfect voor tussendoor.,2025-12-29
412,5,Erg lekkere snack!,2026-03-30
413,4,Mijn favoriete snack tot nu toe.,2026-01-09
414,3,Heel tevreden over deze bestelling.,2025-11-18
415,1,Heel tevreden over deze bestelling.,2026-04-28
416,5,De kinderen vonden het heerlijk.,2026-02-14
417,3,De kinderen vonden het heerlijk.,2025-12-28
418,1,Heel tevreden over deze bestelling.,2025-09-08
419,4,De kinderen vonden het heerlijk.,2026-01-01
420,5,Goede prijs voor de kwaliteit.,2026-03-25
421,2,Goede kwaliteit en snelle levering.,2025-11-04
422,3,Smaak was beter dan verwacht.,2025-08-12
423,3,Mijn favoriete snack tot nu toe.,2026-02-12
424,5,De kinderen vonden het heerlijk.,2025-10-31
425,5,Erg lekkere snack!,2026-05-01
426,1,Mijn favoriete snack tot nu toe.,2025-12-05
427,4,De kinderen vonden het heerlijk.,2025-10-03
428,2,Goede prijs voor de kwaliteit.,2025-09-03
429,2,Smaak was beter dan verwacht.,2025-07-15
430,3,Mijn favoriete snack tot nu toe.,2025-11-04
431,5,Zou opnieuw bestellen.,2025-07-25
432,3,De kinderen vonden het heerlijk.,2025-09-06
433,5,Perfect voor tussendoor.,2025-05-27
434,5,Zou opnieuw bestellen.,2025-09-23
435,1,Smaak was beter dan verwacht.,2025-12-06
436,1,Heel tevreden over deze bestelling.,2025-07-30
437,3,Erg lekkere snack!,2025-07-23
438,4,Zou opnieuw bestellen.,2025-06-23
439,5,Goede prijs voor de kwaliteit.,2026-01-28
440,1,Goede prijs voor de kwaliteit.,2025-09-21
441,2,De kinderen vonden het heerlijk.,2025-07-06
442,5,Heel tevreden over deze bestelling.,2026-03-10
443,2,Erg lekkere snack!,2025-08-04
444,1,Prijs kwaliteit is uitstekend.,2026-05-15
445,4,Smaak was beter dan verwacht.,2025-10-22
446,2,Heel tevreden over deze bestelling.,2025-06-05
447,2,Heel tevreden over deze bestelling.,2025-09-10
448,5,Perfect voor tussendoor.,2026-04-23
449,2,De kinderen vonden het heerlijk.,2026-02-07
450,5,Smaak was beter dan verwacht.,2025-06-19
451,4,De kinderen vonden het heerlijk.,2025-11-13
452,3,Mijn favoriete snack tot nu toe.,2025-10-01
453,5,Smaak was beter dan verwacht.,2025-08-18
454,3,Zou opnieuw bestellen.,2025-07-16
455,4,Prijs kwaliteit is uitstekend.,2026-01-18
456,3,De kinderen vonden het heerlijk.,2025-12-23
457,2,Zou opnieuw bestellen.,2025-12-28
458,2,Perfect voor tussendoor.,2025-12-13
459,4,Smaak was beter dan verwacht.,2025-08-11
460,3,Zou opnieuw bestellen.,2026-03-23
461,5,De kinderen vonden het heerlijk.,2025-11-11
462,4,Smaak was beter dan verwacht.,2026-03-11
463,3,Erg lekkere snack!,2025-12-28
464,1,Smaak was beter dan verwacht.,2025-10-10
465,3,Perfect voor tussendoor.,2026-02-04
466,2,De kinderen vonden het heerlijk.,2026-01-06
467,5,Zou opnieuw bestellen.,2026-03-15
468,1,Goede prijs voor de kwaliteit.,2025-07-28
469,2,Prijs kwaliteit is uitstekend.,2026-04-29
470,5,Prijs kwaliteit is uitstekend.,2025-07-02
471,2,Erg lekkere snack!,2026-04-03
472,4,Smaak was beter dan verwacht.,2025-09-25
473,1,Mijn favoriete snack tot nu toe.,2026-05-22
474,5,Mijn favoriete snack tot nu toe.,2025-10-28
475,4,Perfect voor tussendoor.,2025-06-25
476,2,Zou opnieuw bestellen.,2025-12-11
477,3,Erg lekkere snack!,2026-04-09
478,5,Prijs kwaliteit is uitstekend.,2025-08-24
479,1,Mijn favoriete snack tot nu toe.,2025-10-23
480,2,Erg lekkere snack!,2025-11-02
481,4,Mijn favoriete snack tot nu toe.,2025-12-27
482,1,Erg lekkere snack!,2025-12-23
483,5,Goede prijs voor de kwaliteit.,2026-03-31
484,3,Zou opnieuw bestellen.,2025-10-04
485,5,De kinderen vonden het heerlijk.,2025-09-14
486,2,De kinderen vonden het heerlijk.,2025-09-27
487,3,Prijs kwaliteit is uitstekend.,2026-03-28
488,3,Mijn favoriete snack tot nu toe.,2025-10-02
489,3,Mijn favoriete snack tot nu toe.,2026-05-17
490,3,Zou opnieuw bestellen.,2025-08-07
491,2,Mijn favoriete snack tot nu toe.,2025-07-16
492,4,Heel tevreden over deze bestelling.,2025-09-03
493,3,Goede kwaliteit en snelle levering.,2025-10-31
494,1,Mijn favoriete snack tot nu toe.,2026-03-14
495,4,Smaak was beter dan verwacht.,2026-01-17
496,1,Zou opnieuw bestellen.,2025-11-09
497,2,Perfect voor tussendoor.,2026-01-08
498,3,Zou opnieuw bestellen.,2025-07-30
499,5,Erg lekkere snack!,2026-01-11
500,3,Prijs kwaliteit is uitstekend.,2026-04-23
501,1,Perfect voor tussendoor.,2025-12-18
502,2,Heel tevreden over deze bestelling.,2025-06-07
503,5,Zou opnieuw bestellen.,2025-06-05
504,1,Zou opnieuw bestellen.,2025-11-17
505,5,Prijs kwaliteit is uitstekend.,2026-02-01
506,2,Perfect voor tussendoor.,2026-03-07
507,4,Goede prijs voor de kwaliteit.,2025-11-14
508,4,De kinderen vonden het heerlijk.,2025-09-25
509,5,Prijs kwaliteit is uitstekend.,2026-01-18
510,5,Goede kwaliteit en snelle levering.,2025-08-28
511,4,De kinderen vonden het heerlijk.,2025-05-29
512,3,Goede kwaliteit en snelle levering.,2025-08-09
513,1,Erg lekkere snack!,2025-08-17
514,5,Prijs kwaliteit is uitstekend.,2025-08-04
515,5,Mijn favoriete snack tot nu toe.,2026-03-01
516,3,De kinderen vonden het heerlijk.,2025-10-10
517,1,Prijs kwaliteit is uitstekend.,2025-07-30
518,4,Goede kwaliteit en snelle levering.,2025-09-05
519,4,Erg lekkere snack!,2025-10-04
520,2,De kinderen vonden het heerlijk.,2025-10-24
521,4,Goede prijs voor de kwaliteit.,2026-04-25
522,5,Perfect voor tussendoor.,2025-06-14
523,3,Erg lekkere snack!,2025-11-03
524,3,Erg lekkere snack!,2026-02-02
525,5,Goede kwaliteit en snelle levering.,2026-05-01
526,4,Smaak was beter dan verwacht.,2025-05-31
527,1,De kinderen vonden het heerlijk.,2026-04-24
