:START_ID(Customer),:END_ID(Mail),:TYPE
448,148,RECEIVES
305,263,RECEIVES
117,161,RECEIVES
475,166,RECEIVES
465,123,RECEIVES
290,98,RECEIVES
179,157,RECEIVES
99,172,RECEIVES
266,211,RECEIVES
143,136,RECEIVES
307,218,RECEIVES
343,97,RECEIVES
394,72,RECEIVES
411,152,RECEIVES
98,186,RECEIVES
365,278,RECEIVES
284,165,RECEIVES
105,237,RECEIVES
298,267,RECEIVES
89,61,RECEIVES
371,150,RECEIVES
327,127,RECEIVES
106,173,RECEIVES
94,255,RECEIVES
192,126,RECEIVES
201,248,RECEIVES
368,139,RECEIVES
478,291,RECEIVES
236,276,RECEIVES
175,75,RECEIVES
131,37,RECEIVES
130,64,RECEIVES
495,193,RECEIVES
417,282,RECEIVES
202,2,RECEIVES
35,97,RECEIVES
416,131,RECEIVES
476,254,RECEIVES
233,282,RECEIVES
299,142,RECEIVES
262,291,RECEIVES
216,102,RECEIVES
137,27,RECEIVES
219,251,RECEIVES
305,56,RECEIVES
244,224,RECEIVES
199,161,RECEIVES
62,72,RECEIVES
93,63,RECEIVES
186,28,RECEIVES
22,36,RECEIVES
143,56,RECEIVES
281,275,RECEIVES
138,66,RECEIVES
402,50,RECEIVES
474,217,RECEIVES
105,21,RECEIVES
457,291,RECEIVES
31,6,RECEIVES
58,173,RECEIVES
320,142,RECEIVES
146,221,RECEIVES
124,119,RECEIVES
113,293,RECEIVES
385,137,RECEIVES
476,283,RECEIVES
182,122,RECEIVES
78,12,RECEIVES
284,300,RECEIVES
163,113,RECEIVES
88,197,RECEIVES
105,278,RECEIVES
316,9,RECEIVES
489,83,RECEIVES
47,293,RECEIVES
380,139,RECEIVES
415,249,RECEIVES
64,49,RECEIVES
127,209,RECEIVES
114,124,RECEIVES
236,85,RECEIVES
457,89,RECEIVES
470,113,RECEIVES
144,55,RECEIVES
2,123,RECEIVES
344,158,RECEIVES
223,297,RECEIVES
441,198,RECEIVES
229,110,RECEIVES
119,52,RECEIVES
434,42,RECEIVES
210,228,RECEIVES
227,77,RECEIVES
379,197,RECEIVES
436,195,RECEIVES
12,278,RECEIVES
392,140,RECEIVES
106,252,RECEIVES
224,269,RECEIVES
176,165,RECEIVES
11,256,RECEIVES
260,199,RECEIVES
430,227,RECEIVES
311,106,RECEIVES
191,74,RECEIVES
361,40,RECEIVES
308,194,RECEIVES
87,207,RECEIVES
107,112,RECEIVES
161,181,RECEIVES
208,141,RECEIVES
128,149,RECEIVES
461,119,RECEIVES
195,241,RECEIVES
492,13,RECEIVES
352,289,RECEIVES
125,34,RECEIVES
232,12,RECEIVES
200,293,RECEIVES
177,185,RECEIVES
196,11,RECEIVES
252,224,RECEIVES
371,229,RECEIVES
466,218,RECEIVES
46,224,RECEIVES
131,179,RECEIVES
118,138,RECEIVES
188,134,RECEIVES
246,81,RECEIVES
87,113,RECEIVES
438,300,RECEIVES
331,265,RECEIVES
307,272,RECEIVES
415,101,RECEIVES
434,19,RECEIVES
196,187,RECEIVES
25,118,RECEIVES
47,82,RECEIVES
48,284,RECEIVES
26,129,RECEIVES
41,269,RECEIVES
478,131,RECEIVES
232,77,RECEIVES
151,73,RECEIVES
440,224,RECEIVES
143,96,RECEIVES
118,210,RECEIVES
160,86,RECEIVES
267,35,RECEIVES
119,48,RECEIVES
318,27,RECEIVES
294,91,RECEIVES
148,281,RECEIVES
241,217,RECEIVES
459,86,RECEIVES
121,9,RECEIVES
414,101,RECEIVES
309,40,RECEIVES
35,52,RECEIVES
138,92,RECEIVES
274,64,RECEIVES
399,237,RECEIVES
284,189,RECEIVES
371,92,RECEIVES
79,274,RECEIVES
478,96,RECEIVES
126,5,RECEIVES
167,88,RECEIVES
393,140,RECEIVES
263,11,RECEIVES
257,259,RECEIVES
459,30,RECEIVES
202,70,RECEIVES
86,25,RECEIVES
241,80,RECEIVES
434,68,RECEIVES
124,189,RECEIVES
294,143,RECEIVES
237,126,RECEIVES
233,90,RECEIVES
364,57,RECEIVES
366,128,RECEIVES
83,22,RECEIVES
35,194,RECEIVES
70,1,RECEIVES
148,236,RECEIVES
271,251,RECEIVES
347,203,RECEIVES
282,278,RECEIVES
372,207,RECEIVES
456,269,RECEIVES
239,267,RECEIVES
182,296,RECEIVES
368,208,RECEIVES
385,129,RECEIVES
269,209,RECEIVES
86,258,RECEIVES
440,256,RECEIVES
65,19,RECEIVES
106,38,RECEIVES
308,189,RECEIVES
432,153,RECEIVES
60,212,RECEIVES
196,193,RECEIVES
154,192,RECEIVES
13,162,RECEIVES
250,102,RECEIVES
385,9,RECEIVES
111,223,RECEIVES
397,76,RECEIVES
231,72,RECEIVES
333,155,RECEIVES
203,126,RECEIVES
73,9,RECEIVES
462,117,RECEIVES
463,225,RECEIVES
130,250,RECEIVES
205,239,RECEIVES
365,239,RECEIVES
191,105,RECEIVES
238,67,RECEIVES
213,27,RECEIVES
126,75,RECEIVES
460,52,RECEIVES
152,192,RECEIVES
28,180,RECEIVES
239,198,RECEIVES
455,222,RECEIVES
40,151,RECEIVES
182,263,RECEIVES
283,245,RECEIVES
21,246,RECEIVES
35,181,RECEIVES
170,100,RECEIVES
159,260,RECEIVES
85,6,RECEIVES
52,75,RECEIVES
382,288,RECEIVES
139,31,RECEIVES
13,261,RECEIVES
112,267,RECEIVES
191,13,RECEIVES
230,207,RECEIVES
172,236,RECEIVES
178,168,RECEIVES
146,189,RECEIVES
27,265,RECEIVES
300,64,RECEIVES
453,225,RECEIVES
389,250,RECEIVES
222,264,RECEIVES
19,281,RECEIVES
374,290,RECEIVES
260,35,RECEIVES
496,79,RECEIVES
478,194,RECEIVES
170,226,RECEIVES
375,137,RECEIVES
74,73,RECEIVES
391,101,RECEIVES
48,197,RECEIVES
142,202,RECEIVES
113,22,RECEIVES
23,156,RECEIVES
7,69,RECEIVES
100,215,RECEIVES
292,100,RECEIVES
214,78,RECEIVES
219,281,RECEIVES
291,131,RECEIVES
470,108,RECEIVES
1,34,RECEIVES
84,20,RECEIVES
136,248,RECEIVES
403,34,RECEIVES
113,240,RECEIVES
469,85,RECEIVES
474,253,RECEIVES
59,41,RECEIVES
343,236,RECEIVES
416,176,RECEIVES
316,191,RECEIVES
436,241,RECEIVES
490,133,RECEIVES
296,286,RECEIVES
281,170,RECEIVES
324,168,RECEIVES
270,80,RECEIVES
342,267,RECEIVES
350,143,RECEIVES
413,126,RECEIVES
116,12,RECEIVES
223,248,RECEIVES
140,169,RECEIVES
482,261,RECEIVES
154,256,RECEIVES
499,208,RECEIVES
27,154,RECEIVES
411,132,RECEIVES
55,76,RECEIVES
285,115,RECEIVES
433,113,RECEIVES
451,128,RECEIVES
238,79,RECEIVES
475,51,RECEIVES
358,278,RECEIVES
259,186,RECEIVES
212,205,RECEIVES
215,291,RECEIVES
170,154,RECEIVES
42,125,RECEIVES
84,247,RECEIVES
486,34,RECEIVES
397,161,RECEIVES
475,30,RECEIVES
224,208,RECEIVES
418,222,RECEIVES
79,213,RECEIVES
243,16,RECEIVES
171,190,RECEIVES
61,158,RECEIVES
121,250,RECEIVES
451,252,RECEIVES
476,203,RECEIVES
302,110,RECEIVES
208,221,RECEIVES
435,121,RECEIVES
147,125,RECEIVES
313,85,RECEIVES
173,82,RECEIVES
307,168,RECEIVES
304,193,RECEIVES
437,43,RECEIVES
52,43,RECEIVES
43,5,RECEIVES
77,277,RECEIVES
220,253,RECEIVES
460,48,RECEIVES
479,78,RECEIVES
27,2,RECEIVES
242,91,RECEIVES
17,69,RECEIVES
150,188,RECEIVES
348,183,RECEIVES
342,293,RECEIVES
45,21,RECEIVES
85,159,RECEIVES
170,52,RECEIVES
20,299,RECEIVES
43,21,RECEIVES
315,1,RECEIVES
421,99,RECEIVES
405,88,RECEIVES
460,201,RECEIVES
422,252,RECEIVES
56,137,RECEIVES
304,150,RECEIVES
316,270,RECEIVES
37,146,RECEIVES
71,34,RECEIVES
237,134,RECEIVES
81,264,RECEIVES
50,255,RECEIVES
311,115,RECEIVES
353,146,RECEIVES
17,202,RECEIVES
437,174,RECEIVES
341,84,RECEIVES
356,243,RECEIVES
415,232,RECEIVES
184,261,RECEIVES
157,151,RECEIVES
335,206,RECEIVES
215,121,RECEIVES
407,159,RECEIVES
342,168,RECEIVES
108,124,RECEIVES
237,77,RECEIVES
361,80,RECEIVES
19,41,RECEIVES
31,61,RECEIVES
76,56,RECEIVES
230,65,RECEIVES
77,38,RECEIVES
145,171,RECEIVES
353,164,RECEIVES
297,123,RECEIVES
368,247,RECEIVES
223,210,RECEIVES
63,283,RECEIVES
374,155,RECEIVES
480,108,RECEIVES
459,243,RECEIVES
336,18,RECEIVES
187,81,RECEIVES
201,99,RECEIVES
177,34,RECEIVES
26,17,RECEIVES
431,130,RECEIVES
200,96,RECEIVES
417,255,RECEIVES
238,204,RECEIVES
402,166,RECEIVES
231,69,RECEIVES
418,168,RECEIVES
382,217,RECEIVES
338,162,RECEIVES
491,291,RECEIVES
445,95,RECEIVES
4,85,RECEIVES
489,129,RECEIVES
213,48,RECEIVES
250,172,RECEIVES
76,22,RECEIVES
453,72,RECEIVES
123,263,RECEIVES
310,254,RECEIVES
491,143,RECEIVES
465,104,RECEIVES
370,93,RECEIVES
214,20,RECEIVES
395,5,RECEIVES
324,185,RECEIVES
365,176,RECEIVES
410,191,RECEIVES
173,2,RECEIVES
54,248,RECEIVES
396,257,RECEIVES
104,109,RECEIVES
76,171,RECEIVES
349,259,RECEIVES
141,272,RECEIVES
201,271,RECEIVES
303,101,RECEIVES
223,21,RECEIVES
233,281,RECEIVES
149,276,RECEIVES
387,234,RECEIVES
23,146,RECEIVES
171,10,RECEIVES
209,33,RECEIVES
243,214,RECEIVES
476,238,RECEIVES
469,293,RECEIVES
119,162,RECEIVES
428,115,RECEIVES
231,136,RECEIVES
154,20,RECEIVES
419,118,RECEIVES
343,297,RECEIVES
131,203,RECEIVES
136,3,RECEIVES
272,118,RECEIVES
21,114,RECEIVES
488,231,RECEIVES
123,204,RECEIVES
2,221,RECEIVES
25,39,RECEIVES
411,141,RECEIVES
275,280,RECEIVES
482,214,RECEIVES
9,257,RECEIVES
445,157,RECEIVES
394,27,RECEIVES
255,298,RECEIVES
110,274,RECEIVES
339,283,RECEIVES
148,60,RECEIVES
438,121,RECEIVES
474,200,RECEIVES
288,169,RECEIVES
91,280,RECEIVES
336,103,RECEIVES
8,220,RECEIVES
41,169,RECEIVES
332,126,RECEIVES
485,246,RECEIVES
11,51,RECEIVES
67,133,RECEIVES
87,150,RECEIVES
344,132,RECEIVES
213,83,RECEIVES
464,219,RECEIVES
105,84,RECEIVES
186,50,RECEIVES
392,148,RECEIVES
159,278,RECEIVES
355,281,RECEIVES
328,36,RECEIVES
40,80,RECEIVES
448,63,RECEIVES
437,2,RECEIVES
489,123,RECEIVES
34,139,RECEIVES
495,92,RECEIVES
59,232,RECEIVES
173,63,RECEIVES
257,274,RECEIVES
239,262,RECEIVES
63,247,RECEIVES
343,143,RECEIVES
403,43,RECEIVES
183,48,RECEIVES
181,91,RECEIVES
199,97,RECEIVES
280,129,RECEIVES
372,10,RECEIVES
467,45,RECEIVES
33,84,RECEIVES
75,176,RECEIVES
83,268,RECEIVES
418,274,RECEIVES
100,246,RECEIVES
474,180,RECEIVES
16,175,RECEIVES
437,200,RECEIVES
406,222,RECEIVES
54,263,RECEIVES
398,207,RECEIVES
109,86,RECEIVES
98,248,RECEIVES
397,35,RECEIVES
500,117,RECEIVES
428,254,RECEIVES
286,235,RECEIVES
199,165,RECEIVES
329,189,RECEIVES
102,22,RECEIVES
19,232,RECEIVES
97,2,RECEIVES
293,182,RECEIVES
9,191,RECEIVES
333,174,RECEIVES
213,4,RECEIVES
497,162,RECEIVES
442,238,RECEIVES
44,69,RECEIVES
432,50,RECEIVES
305,267,RECEIVES
288,60,RECEIVES
304,70,RECEIVES
243,254,RECEIVES
284,283,RECEIVES
372,175,RECEIVES
62,17,RECEIVES
403,163,RECEIVES
126,160,RECEIVES
275,218,RECEIVES
151,20,RECEIVES
440,55,RECEIVES
29,154,RECEIVES
341,71,RECEIVES
357,133,RECEIVES
418,195,RECEIVES
79,144,RECEIVES
175,211,RECEIVES
39,272,RECEIVES
187,39,RECEIVES
256,158,RECEIVES
379,154,RECEIVES
209,12,RECEIVES
14,146,RECEIVES
168,95,RECEIVES
365,48,RECEIVES
446,71,RECEIVES
477,269,RECEIVES
309,52,RECEIVES
186,59,RECEIVES
49,136,RECEIVES
394,171,RECEIVES
163,64,RECEIVES
94,296,RECEIVES
109,299,RECEIVES
410,41,RECEIVES
119,26,RECEIVES
142,160,RECEIVES
431,282,RECEIVES
387,278,RECEIVES
468,41,RECEIVES
416,282,RECEIVES
479,296,RECEIVES
446,280,RECEIVES
153,283,RECEIVES
337,153,RECEIVES
52,207,RECEIVES
386,21,RECEIVES
160,216,RECEIVES
48,171,RECEIVES
138,27,RECEIVES
71,36,RECEIVES
49,3,RECEIVES
55,245,RECEIVES
22,241,RECEIVES
415,185,RECEIVES
208,278,RECEIVES
55,136,RECEIVES
82,288,RECEIVES
459,127,RECEIVES
42,172,RECEIVES
87,95,RECEIVES
333,292,RECEIVES
359,54,RECEIVES
323,9,RECEIVES
241,112,RECEIVES
374,65,RECEIVES
87,261,RECEIVES
