:START_ID(Customer),:END_ID(Order),:TYPE
472,224,PLACED
417,225,PLACED
186,226,PLACED
324,227,PLACED
362,228,PLACED
347,229,PLACED
15,230,PLACED
358,231,PLACED
341,232,PLACED
331,233,PLACED
76,234,PLACED
134,235,PLACED
310,236,PLACED
234,237,PLACED
484,238,PLACED
349,239,PLACED
76,240,PLACED
131,241,PLACED
127,242,PLACED
309,243,PLACED
297,244,PLACED
488,245,PLACED
340,246,PLACED
431,247,PLACED
83,248,PLACED
7,249,PLACED
60,250,PLACED
395,251,PLACED
48,252,PLACED
330,253,PLACED
365,254,PLACED
470,255,PLACED
197,256,PLACED
204,257,PLACED
362,258,PLACED
301,259,PLACED
499,260,PLACED
462,261,PLACED
42,262,PLACED
266,263,PLACED
466,264,PLACED
97,265,PLACED
449,266,PLACED
217,267,PLACED
85,268,PLACED
425,269,PLACED
219,270,PLACED
130,271,PLACED
355,272,PLACED
155,273,PLACED
257,274,PLACED
496,275,PLACED
273,276,PLACED
338,277,PLACED
454,278,PLACED
196,279,PLACED
301,280,PLACED
158,281,PLACED
376,282,PLACED
211,283,PLACED
386,284,PLACED
449,285,PLACED
474,286,PLACED
373,287,PLACED
446,288,PLACED
46,289,PLACED
56,290,PLACED
326,291,PLACED
294,292,PLACED
398,293,PLACED
409,294,PLACED
177,295,PLACED
417,296,PLACED
74,297,PLACED
138,298,PLACED
384,299,PLACED
108,300,PLACED
477,301,PLACED
384,302,PLACED
204,303,PLACED
358,304,PLACED
158,305,PLACED
4,306,PLACED
87,307,PLACED
418,308,PLACED
252,309,PLACED
1,310,PLACED
50,311,PLACED
36,312,PLACED
397,313,PLACED
357,314,PLACED
214,315,PLACED
269,316,PLACED
214,317,PLACED
336,318,PLACED
148,319,PLACED
376,320,PLACED
221,321,PLACED
88,322,PLACED
91,323,PLACED
192,324,PLACED
96,325,PLACED
361,326,PLACED
69,327,PLACED
102,328,PLACED
250,329,PLACED
94,330,PLACED
258,331,PLACED
486,332,PLACED
57,333,PLACED
231,334,PLACED
291,335,PLACED
417,336,PLACED
109,337,PLACED
96,338,PLACED
103,339,PLACED
31,340,PLACED
384,341,PLACED
94,342,PLACED
415,343,PLACED
389,344,PLACED
99,345,PLACED
133,346,PLACED
462,347,PLACED
447,348,PLACED
210,349,PLACED
226,350,PLACED
321,351,PLACED
468,352,PLACED
320,353,PLACED
56,354,PLACED
445,355,PLACED
326,356,PLACED
86,357,PLACED
41,358,PLACED
151,359,PLACED
44,360,PLACED
194,361,PLACED
64,362,PLACED
142,363,PLACED
33,364,PLACED
176,365,PLACED
16,366,PLACED
300,367,PLACED
121,368,PLACED
245,369,PLACED
249,370,PLACED
345,371,PLACED
390,372,PLACED
52,373,PLACED
5,374,PLACED
32,375,PLACED
137,376,PLACED
385,377,PLACED
490,378,PLACED
4,379,PLACED
341,380,PLACED
299,381,PLACED
405,382,PLACED
22,383,PLACED
50,384,PLACED
109,385,PLACED
268,386,PLACED
406,387,PLACED
4,388,PLACED
193,389,PLACED
309,390,PLACED
267,391,PLACED
493,392,PLACED
390,393,PLACED
137,394,PLACED
478,395,PLACED
249,396,PLACED
243,397,PLACED
388,398,PLACED
173,399,PLACED
310,400,PLACED
220,401,PLACED
173,402,PLACED
190,403,PLACED
350,404,PLACED
456,405,PLACED
176,406,PLACED
162,407,PLACED
419,408,PLACED
123,409,PLACED
482,410,PLACED
185,411,PLACED
341,412,PLACED
205,413,PLACED
194,414,PLACED
313,415,PLACED
30,416,PLACED
500,417,PLACED
183,418,PLACED
448,419,PLACED
170,420,PLACED
413,421,PLACED
52,422,PLACED
2,423,PLACED
234,424,PLACED
446,425,PLACED
358,426,PLACED
206,427,PLACED
372,428,PLACED
428,429,PLACED
455,430,PLACED
474,431,PLACED
72,432,PLACED
14,433,PLACED
309,434,PLACED
63,435,PLACED
445,436,PLACED
272,437,PLACED
144,438,PLACED
487,439,PLACED
359,440,PLACED
385,441,PLACED
418,442,PLACED
128,443,PLACED
189,444,PLACED
232,445,PLACED
317,446,PLACED
352,447,PLACED
338,448,PLACED
446,449,PLACED
244,450,PLACED
264,451,PLACED
212,452,PLACED
339,453,PLACED
97,454,PLACED
2,455,PLACED
327,456,PLACED
491,457,PLACED
483,458,PLACED
417,459,PLACED
165,460,PLACED
9,461,PLACED
325,462,PLACED
185,463,PLACED
448,464,PLACED
24,465,PLACED
497,466,PLACED
414,467,PLACED
377,468,PLACED
167,469,PLACED
348,470,PLACED
228,471,PLACED
120,472,PLACED
311,473,PLACED
249,474,PLACED
205,475,PLACED
379,476,PLACED
314,477,PLACED
407,478,PLACED
42,479,PLACED
179,480,PLACED
220,481,PLACED
481,482,PLACED
477,483,PLACED
483,484,PLACED
477,485,PLACED
244,486,PLACED
338,487,PLACED
439,488,PLACED
359,489,PLACED
464,490,PLACED
52,491,PLACED
376,492,PLACED
198,493,PLACED
151,494,PLACED
311,495,PLACED
100,496,PLACED
365,497,PLACED
74,498,PLACED
446,499,PLACED
267,500,PLACED
449,501,PLACED
293,502,PLACED
402,503,PLACED
439,504,PLACED
367,505,PLACED
259,506,PLACED
17,507,PLACED
66,508,PLACED
255,509,PLACED
408,510,PLACED
45,511,PLACED
155,512,PLACED
427,513,PLACED
345,514,PLACED
281,515,PLACED
448,516,PLACED
240,517,PLACED
87,518,PLACED
459,519,PLACED
229,520,PLACED
489,521,PLACED
60,522,PLACED
247,523,PLACED
340,524,PLACED
277,525,PLACED
124,526,PLACED
125,527,PLACED
109,528,PLACED
88,529,PLACED
386,530,PLACED
484,531,PLACED
338,532,PLACED
359,533,PLACED
46,534,PLACED
55,535,PLACED
223,536,PLACED
367,537,PLACED
15,538,PLACED
83,539,PLACED
476,540,PLACED
476,541,PLACED
168,542,PLACED
463,543,PLACED
197,544,PLACED
393,545,PLACED
144,546,PLACED
113,547,PLACED
369,548,PLACED
132,549,PLACED
341,550,PLACED
244,551,PLACED
488,552,PLACED
460,553,PLACED
344,554,PLACED
64,555,PLACED
341,556,PLACED
70,557,PLACED
473,558,PLACED
274,559,PLACED
325,560,PLACED
372,561,PLACED
252,562,PLACED
47,563,PLACED
408,564,PLACED
355,565,PLACED
171,566,PLACED
447,567,PLACED
115,568,PLACED
478,569,PLACED
295,570,PLACED
393,571,PLACED
474,572,PLACED
308,573,PLACED
34,574,PLACED
330,575,PLACED
176,576,PLACED
194,577,PLACED
467,578,PLACED
368,579,PLACED
381,580,PLACED
377,581,PLACED
372,582,PLACED
196,583,PLACED
335,584,PLACED
329,585,PLACED
402,586,PLACED
288,587,PLACED
495,588,PLACED
439,589,PLACED
224,590,PLACED
414,591,PLACED
120,592,PLACED
115,593,PLACED
133,594,PLACED
60,595,PLACED
149,596,PLACED
45,597,PLACED
58,598,PLACED
46,599,PLACED
175,600,PLACED
380,601,PLACED
304,602,PLACED
480,603,PLACED
97,604,PLACED
382,605,PLACED
483,606,PLACED
60,607,PLACED
294,608,PLACED
189,609,PLACED
66,610,PLACED
437,611,PLACED
161,612,PLACED
489,613,PLACED
195,614,PLACED
296,615,PLACED
378,616,PLACED
1,617,PLACED
160,618,PLACED
32,619,PLACED
303,620,PLACED
275,621,PLACED
98,622,PLACED
434,623,PLACED
199,624,PLACED
217,625,PLACED
164,626,PLACED
395,627,PLACED
187,628,PLACED
409,629,PLACED
348,630,PLACED
479,631,PLACED
408,632,PLACED
65,633,PLACED
267,634,PLACED
340,635,PLACED
309,636,PLACED
303,637,PLACED
114,638,PLACED
55,639,PLACED
203,640,PLACED
5,641,PLACED
276,642,PLACED
437,643,PLACED
236,644,PLACED
162,645,PLACED
75,646,PLACED
418,647,PLACED
483,648,PLACED
152,649,PLACED
429,650,PLACED
113,651,PLACED
256,652,PLACED
349,653,PLACED
234,654,PLACED
76,655,PLACED
308,656,PLACED
146,657,PLACED
75,658,PLACED
383,659,PLACED
341,660,PLACED
435,661,PLACED
411,662,PLACED
424,663,PLACED
360,664,PLACED
18,665,PLACED
307,666,PLACED
164,667,PLACED
159,668,PLACED
258,669,PLACED
353,670,PLACED
64,671,PLACED
141,672,PLACED
435,673,PLACED
362,674,PLACED
294,675,PLACED
245,676,PLACED
324,677,PLACED
425,678,PLACED
111,679,PLACED
254,680,PLACED
150,681,PLACED
361,682,PLACED
495,683,PLACED
193,684,PLACED
31,685,PLACED
415,686,PLACED
171,687,PLACED
79,688,PLACED
424,689,PLACED
367,690,PLACED
108,691,PLACED
435,692,PLACED
376,693,PLACED
479,694,PLACED
415,695,PLACED
116,696,PLACED
359,697,PLACED
377,698,PLACED
27,699,PLACED
473,700,PLACED
444,701,PLACED
398,702,PLACED
92,703,PLACED
439,704,PLACED
250,705,PLACED
373,706,PLACED
201,707,PLACED
154,708,PLACED
418,709,PLACED
338,710,PLACED
468,711,PLACED
435,712,PLACED
82,713,PLACED
12,714,PLACED
281,715,PLACED
201,716,PLACED
173,717,PLACED
217,718,PLACED
348,719,PLACED
243,720,PLACED
179,721,PLACED
388,722,PLACED
201,723,PLACED
201,724,PLACED
37,725,PLACED
271,726,PLACED
373,727,PLACED
145,728,PLACED
145,729,PLACED
357,730,PLACED
473,731,PLACED
100,732,PLACED
359,733,PLACED
439,734,PLACED
281,735,PLACED
202,736,PLACED
50,737,PLACED
68,738,PLACED
166,739,PLACED
386,740,PLACED
406,741,PLACED
298,742,PLACED
444,743,PLACED
413,744,PLACED
28,745,PLACED
436,746,PLACED
479,747,PLACED
364,748,PLACED
156,749,PLACED
235,750,PLACED
336,751,PLACED
84,752,PLACED
296,753,PLACED
71,754,PLACED
227,755,PLACED
357,756,PLACED
248,757,PLACED
150,758,PLACED
460,759,PLACED
75,760,PLACED
108,761,PLACED
112,762,PLACED
412,763,PLACED
384,764,PLACED
101,765,PLACED
377,766,PLACED
334,767,PLACED
5,768,PLACED
186,769,PLACED
372,770,PLACED
439,771,PLACED
295,772,PLACED
53,773,PLACED
348,774,PLACED
403,775,PLACED
440,776,PLACED
76,777,PLACED
193,778,PLACED
487,779,PLACED
219,780,PLACED
348,781,PLACED
431,782,PLACED
87,783,PLACED
475,784,PLACED
29,785,PLACED
50,786,PLACED
183,787,PLACED
499,788,PLACED
243,789,PLACED
92,790,PLACED
484,791,PLACED
27,792,PLACED
61,793,PLACED
264,794,PLACED
333,795,PLACED
174,796,PLACED
304,797,PLACED
223,798,PLACED
497,799,PLACED
77,800,PLACED
322,801,PLACED
370,802,PLACED
207,803,PLACED
126,804,PLACED
18,805,PLACED
61,806,PLACED
124,807,PLACED
204,808,PLACED
251,809,PLACED
155,810,PLACED
353,811,PLACED
306,812,PLACED
489,813,PLACED
89,814,PLACED
335,815,PLACED
382,816,PLACED
193,817,PLACED
398,818,PLACED
355,819,PLACED
408,820,PLACED
344,821,PLACED
338,822,PLACED
46,823,PLACED
399,824,PLACED
238,825,PLACED
443,826,PLACED
419,827,PLACED
333,828,PLACED
196,829,PLACED
141,830,PLACED
324,831,PLACED
335,832,PLACED
228,833,PLACED
189,834,PLACED
6,835,PLACED
62,836,PLACED
60,837,PLACED
43,838,PLACED
63,839,PLACED
251,840,PLACED
329,841,PLACED
343,842,PLACED
466,843,PLACED
261,844,PLACED
116,845,PLACED
12,846,PLACED
301,847,PLACED
294,848,PLACED
294,849,PLACED
246,850,PLACED
141,851,PLACED
356,852,PLACED
382,853,PLACED
49,854,PLACED
407,855,PLACED
304,856,PLACED
93,857,PLACED
197,858,PLACED
248,859,PLACED
331,860,PLACED
360,861,PLACED
223,862,PLACED
153,863,PLACED
293,864,PLACED
65,865,PLACED
51,866,PLACED
167,867,PLACED
33,868,PLACED
366,869,PLACED
466,870,PLACED
442,871,PLACED
408,872,PLACED
276,873,PLACED
95,874,PLACED
208,875,PLACED
417,876,PLACED
359,877,PLACED
11,878,PLACED
202,879,PLACED
285,880,PLACED
419,881,PLACED
275,882,PLACED
402,883,PLACED
416,884,PLACED
272,885,PLACED
251,886,PLACED
33,887,PLACED
266,888,PLACED
429,889,PLACED
300,890,PLACED
276,891,PLACED
366,892,PLACED
420,893,PLACED
405,894,PLACED
334,895,PLACED
64,896,PLACED
386,897,PLACED
386,898,PLACED
107,899,PLACED
495,900,PLACED
338,901,PLACED
460,902,PLACED
61,903,PLACED
93,904,PLACED
442,905,PLACED
307,906,PLACED
356,907,PLACED
93,908,PLACED
3,909,PLACED
285,910,PLACED
229,911,PLACED
410,912,PLACED
161,913,PLACED
63,914,PLACED
21,915,PLACED
66,916,PLACED
295,917,PLACED
106,918,PLACED
335,919,PLACED
83,920,PLACED
45,921,PLACED
288,922,PLACED
132,923,PLACED
436,924,PLACED
386,925,PLACED
18,926,PLACED
44,927,PLACED
64,928,PLACED
260,929,PLACED
153,930,PLACED
187,931,PLACED
495,932,PLACED
279,933,PLACED
88,934,PLACED
217,935,PLACED
484,936,PLACED
337,937,PLACED
1,938,PLACED
128,939,PLACED
154,940,PLACED
24,941,PLACED
485,942,PLACED
485,943,PLACED
266,944,PLACED
464,945,PLACED
401,946,PLACED
151,947,PLACED
338,948,PLACED
274,949,PLACED
228,950,PLACED
72,951,PLACED
296,952,PLACED
252,953,PLACED
356,954,PLACED
161,955,PLACED
268,956,PLACED
467,957,PLACED
181,958,PLACED
311,959,PLACED
276,960,PLACED
262,961,PLACED
108,962,PLACED
353,963,PLACED
51,964,PLACED
340,965,PLACED
420,966,PLACED
23,967,PLACED
122,968,PLACED
19,969,PLACED
97,970,PLACED
73,971,PLACED
154,972,PLACED
439,973,PLACED
427,974,PLACED
111,975,PLACED
491,976,PLACED
69,977,PLACED
309,978,PLACED
283,979,PLACED
111,980,PLACED
303,981,PLACED
184,982,PLACED
143,983,PLACED
66,984,PLACED
374,985,PLACED
319,986,PLACED
217,987,PLACED
39,988,PLACED
282,989,PLACED
131,990,PLACED
134,991,PLACED
196,992,PLACED
333,993,PLACED
463,994,PLACED
84,995,PLACED
205,996,PLACED
234,997,PLACED
43,998,PLACED
484,999,PLACED
131,1000,PLACED
